AccelerometerX,AccelerometerY,AccelerometerZ,MagneticX,MagneticY,MagneticZ,Light,RotationX,RotationY,RotationZ,OrientationX,OrientationY,OrientatoinZ,BSSID1,BSSID2,BSSID3,BSSID4,BSSID5,BSSID6,BSSID7,BSSID8,BSSID9,BSSID10,BSSID11,BSSID12,BSSID13,BSSID14,BSSID15,BSSID16,BSSID17,BSSID18,BSSID19,BSSID20,BSSID21,BSSID22,BSSID23,BSSID24,BSSID25,BSSID26,BSSID27,BSSID28,BSSID29,BSSID30,BSSID31,BSSID32,BSSID33,BSSID34,BSSID35,BSSID36,BSSID37,BSSID38,BSSID39,BSSID40,BSSID41,BSSID42,BSSID43,BSSID44,BSSID45,BSSID46,BSSID47,BSSID48,BSSID49,BSSID50,BSSID51,BSSID52,BSSID53,BSSID54,BSSID55,BSSID56,BSSID57,BSSID58,BSSID59,BSSID60,BSSID61,BSSID62,BSSID63,BSSID64,BSSID65,BSSID66,BSSID67,BSSID68,BSSID69,BSSID70,BSSID71,BSSID72,BSSID73,BSSID74,BSSID75,BSSID76,BSSID77,BSSID78,BSSID79,BSSID80,BSSID81,BSSID82,BSSID83,BSSID84,BSSID85,BSSID86,BSSID87,BSSID88,BSSID89,BSSID90,BSSID91,BSSID92,BSSID93,BSSID94,BSSID95,BSSID96,BSSID97,BSSID98,BSSID99,BSSID100,BSSID101,BSSID102,BSSID103,BSSID104,BSSID105,BSSID106,BSSID107,BSSID108,BSSID109,BSSID110,BSSID111,BSSID112,BSSID113,BSSID114,BSSID115,BSSID116,BSSID117,BSSID118,BSSID119,BSSID120,BSSID121,BSSID122,BSSID123,BSSID124,BSSID125,BSSID126,BSSID127,BSSID128,BSSID129,BSSID130,BSSID131,BSSID132,BSSID133,BSSID134,BSSID135,BSSID136,BSSID137,BSSID138,BSSID139,BSSID140,BSSID141,BSSID142,BSSID143,BSSID144,BSSID145,BSSID146,BSSID147,BSSID148,BSSID149,BSSID150,BSSID151,BSSID152,BSSID153,BSSID154,BSSID155,BSSID156,Latitude,Longitude,LocationAccuracy,xPosition,yPosition
-0.1471,0.862985,9.95375,4.8125,-28.25,-51.625,526,0,0,0,-2.972238,-0.086474,0.014777,0,0,0,0,0,0,0,0,0,0,0,0,-92,-92,-92,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-64,-63,0,0,0,0,-90,-90,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-89,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,41.601373,-93.653932,6,10.5,0.5
-0.382459,0.843372,10.042009,4.375,-28.25,-50.875,341,0,0,0,-3.039974,-0.083727,0.038068,0,0,0,0,0,0,0,0,0,0,0,0,-84,-84,-84,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-88,-88,-88,0,0,0,0,0,0,0,0,0,0,0,0,-74,-74,-74,-75,0,0,0,0,-94,-94,0,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-89,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,41.601373,-93.653931,8,11.5,0.5
-0.304006,1.225831,10.042009,3.8125,-29.0625,-48.5625,62,0,0,0,-3.039953,-0.121414,0.030264,0,0,0,0,0,0,0,0,0,0,0,0,-83,-82,-83,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-92,-92,0,0,0,0,0,0,0,0,0,0,0,0,-74,-73,-73,-73,0,0,0,0,-90,-92,-90,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-89,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,41.601377,-93.653931,8,12.5,0.5
0.715885,0.049033,9.98317,3.125,-24.1875,-45.6875,23,0,0,0,-2.881219,-0.004899,-0.071587,0,0,0,0,0,0,0,0,0,0,0,0,-83,-82,-83,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-88,-88,-88,0,0,0,0,0,0,0,0,0,0,0,0,-78,-77,-78,-78,0,0,0,0,-90,-92,-90,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86,-86,-86,0,0,0,0,0,0,0,0,0,0,0,0,41.601378,-93.653933,6,13.5,0.5
-0.17652,0.902212,10.042009,7.375,-25.5,-49.125,970,0,0,0,-2.840854,-0.089589,0.017576,0,0,0,0,0,0,0,0,0,0,0,0,-83,-82,-83,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-88,-88,-88,0,0,0,0,0,0,0,0,0,0,0,0,-84,-83,-78,-78,0,0,0,0,-90,-92,-90,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86,-86,-86,0,0,0,0,0,0,0,0,0,0,0,0,41.601378,-93.653933,6,0.5,1.5
-0.11768,0.735499,10.022396,8.5,-24.375,-50.4375,1443,0,0,0,-2.775274,-0.073249,0.011741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-90,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-80,-79,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,41.601377,-93.653931,6,1.5,1.5
-0.156906,0.813952,9.95375,10.75,-24.4375,-51.8125,1273,0,0,0,-2.68306,-0.081582,0.015762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,-93,-89,-93,0,0,0,0,0,0,0,0,0,0,0,0,-76,-77,-77,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-85,-85,-85,0,0,0,0,0,0,0,0,0,0,0,0,41.601375,-93.653932,8,2.5,1.5
-0.039227,0.421686,9.885103,12.375,-28.0625,-51.1875,185,0,0,0,-2.701576,-0.042633,0.003968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,-93,-89,-89,0,0,0,0,0,0,0,0,0,0,0,0,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-81,-80,-80,0,0,0,0,0,0,0,0,0,0,0,0,41.601374,-93.653932,6,3.5,1.5
-0.127486,0.166713,10.032203,5.3125,-24.6875,-50.625,1663,0,0,0,-2.948217,-0.016615,0.012707,0,0,0,0,0,0,0,0,0,0,0,0,-89,-90,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,-93,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,-65,-64,-65,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-84,-84,-85,0,0,0,0,0,0,0,0,0,0,0,0,41.601374,-93.653932,6,4.5,1.5
-0.274586,0.794339,10.051816,10.5,-27.0625,-50.3125,1253,0,0,0,-2.763935,-0.078831,0.02731,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86,-86,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-89,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,-67,-67,-67,-67,0,0,0,0,-90,-89,-89,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-86,-84,-85,0,0,0,0,0,0,0,0,0,0,0,0,41.601373,-93.653932,4,5.5,1.5
